Unnamed: 0,Category,Response_preprocessed
3027,OutOfOffice,I am currently on vacation through August 5th with limited access to email so please expect a delayed response. If it is an urgent matter please call me directly at 503-347-0532. Thanks-- brspanp dirltr styleline-height:1.08margin-top:0ptmargin-bottom:0ptspan stylefont-size:11.5ptfont-family:Montserratsans-serifcolor:rgb343434background-color:transparentfont-weight:700vertical-align:baselinewhite-space:pre-wrapTore C. Steenspanpp dirltr styleline-height:1.38margin-top:0ptmargin-bottom:0ptspan stylefont-size:7.5ptfont-family:quotProxima Novaquotsans-serifcolor:rgb1785204background-color:transparentvertical-align:baselinewhite-space:pre-wrapa hrefmailto:tore@crowdstreet.com targetblanktore@crowdstreet.comaspanpp dirltr styleline-height:1.38margin-top:0ptmargin-bottom:0ptspan stylefont-size:7.5ptfont-family:quotProxima Novaquotsans-serifcolor:rgb000background-color:transparentvertical-align:baselinewhite-space:pre-wrapCEO amp Co-founderspanpp dirltr styleline-height:1.38margin-top:0ptmargin-bottom:0ptspan stylefont-size:7.5ptfont-family:quotProxima Novaquotsans-serifcolor:rgb000background-color:transparentfont-weight:700vertical-align:baselinewhite-space:pre-wrapC spanspan stylefont-size:7.5ptfont-family:quotProxima Novaquotsans-serifcolor:rgb000background-color:transparentvertical-align:baselinewhite-space:pre-wrap503-347-0532spanpp dirltr styleline-height:1.38margin-top:0ptmargin-bottom:0ptspan stylefont-size:7.5ptfont-family:quotProxima Novaquotsans-serifcolor:rgb000background-color:transparentvertical-align:baselinewhite-space:pre-wrapbrspanspan stylefont-size:7.5ptfont-family:quotProxima Novaquotsans-serifcolor:rgb343434background-color:transparentvertical-align:baselinewhite-space:pre-wrapspan styleborder:nonedisplay:inline-blockoverflow:hiddenwidth:205pxheight:19pximg src
3161,Unsubscribed,If your system is as bad as your emails I have no interest. UNSUSBCRIBE
6430,OutOfOffice,"I am out of the office today. If you need immediate assistance please contact Justin Ellis (justin. ellis@la-z-boy.com) or Tim Maxey (tim. maxey@la-z-boy.com). 
Thank you"
7059,OutOfOffice,Thanks for your message. Im OOO Th 623 and F 624 with limited access. i will respond to messages as soon as possible upon my return M 627.For emergency assitance certainly call my cell 314-304-9451 and I will answer or respond as ASAP.Thank you so much and take careBeccaAdditional support information:For operational support M-F 12a 5:30p CT: Mastercards Global Customer Support can be reached at 1-800-999-0363 or customer.support@mastercard.commailto:customer.support@mastercard.com.For network or critical issues: Mastercards Operations Command Center OCC can be reached any time at 1-800-358-3060 or occ@mastercard.commailto:occ@mastercard.com.Becca Misuraca sheherhersDirectorTechnology Account ManagementMastercardtel 1-636-722-3296 mobile 1-314-304-9451www.mastercard.com
6832,OutOfOffice,I'm on leave until Tuesday August 4th.
9627,Deactivated, Thanks for emailWe are all ok with recruitment so no further action required
60,ConnectLater,Ok
4195,SupportAutoResponse,Attention the email address your message was sent from was not found in our database.nbsp Therefore we are unable to create a case at this time.Please contact your company administrator to be granted permissions for opening tickets via email
3498,OutOfOffice,I am currently out of office on business travel. My responses to emails will be delayed. Please reach out to the Vertical TA leads in my absence.Subhajit91 9845446912
3950,OutOfOffice,I will be out of the office and will return on Monday June 13th. I will deal with your query on my return.
5559,Deactivated,Thanks for your email Im very happy in my current role at the moment.
1329,SupportAutoResponse,Im sorry to have to inform you that your message could notbe delivered to one or more recipients. Its attached below.For further assistance please send mail to postmaster.If you do so please include this problem report. You candelete your own text from the attached returned message. The mail systempremjit.premjitpanigrahi@irclass.org: host irclass-org.mail.protection.outlook.com104.47.26.74 said: 554 5.4.14 Hop count exceeded - possible mail loop ATTR34 SG2APC01FT0005.eop-APC01.prod.protection.outlook.com in reply to end of DATA command
5959,AgreedToMeet, Thanks for connecting with please block my calendar for telephonicdiscussion at 12:30 Pm today. 
2305,Deactivated,Thanks for forwarding. I just started a new job and am not currently on the job market. 
6104,ConnectLater,Christian and Alex have passed your emails to me as the recruitment supplier liaison.  We are not seeking to expand our current PSL however if this does change and we require your assistance I shall be in touch
6998,OutOfOffice,"I will be out on furlough from July 20th through July 24th returning July 27th. 
If you need immediate assistance during my absence please call 920-485-4463 or contact one of the individuals below. Otherwise I will respond to your emails as soon as possible upon my return on July 13th. "
1551,MovedOut,Thank you for your email. William Jennings is no longer with Visual Lease. Please reach out to James Barr JBarr@visuallease.com for further assistance. 
1010,SeekingMoreInfo,We have below manpower requirement on urgent basis. Sales Requirement1         Sales: Experience in Automation PLC SCADA HMI Panelintegration Drives Project Sales Panel sales  costing.industrypreference-  Siemens  Fox Solutions are first priority and  2nd priority will be Rockwell Automation Rockwell system house Intact Automation COTMAC  Dhruv Automation  Schneider Mitsubhishi SakshiMachine Tool venkateshwara automation  controls pvt. Ltd. TrimasysControl Solutions Pvt Ltd. are more preferable.  1.       Sr. Sales Engineer: Exp above 8 yrs age up to 37 qualificationany degree from Electrical or Electronics stream. Pune Location-Male2.       Sales Engineer: Exp above 3 to 5 yrs qualification any degree fromElectrical or Electronics stream. Pune location-Male or Female Kindly share relevant profiles
1613,Deactivated,Many thanks for getting in touch and the opportunity unfortunately Im not currently looking for another role as such. This also wouldnt suit me as the role I have is primarily home based which suits my current family situation
6406,OutOfOffice,Thank you for your email. I'm out of office today and have limited access to mails. Please expect delay in my response. 
6253,SeekingMoreInfo,MadamThere is a lot of mistakes we need to correct about this proformaInvoice your company sent to My colleaguehead of purchasing onimports.We had to immediately write you directly as it is not workable for us.Please double check and confirm by return the following:1.Expected time of delivery is different from earlier agreed shipmentdate.2. We Agreed on 60 Advance Payment but the Proforma Invoice is stated30 Advance Payment.3. Pay attention to the circled question marks we added to the ProformaInvoice to draw your attention to complete these parts.Kindly Amend and send back revised Proforma Invoice so we can make theadvance payment immediately.Many thks Roberto Jarque Branch Manager Avda. Del Puerto No. 282 - Pta 3 46024 Valencia - Spain Tel.: 34 96 324 20 15 Mxc3xb3vil.: 34 679 09 81 30 Fax: 34 96 367 72 17 IMPORTANT
649,AgreedToMeet,Good to note your email MadamI can spare some 30 mins tomorrow 1430 to 1500 hours please be kind tosend the invitation for meet. Google meet is fine.
880,SeekingMoreInfo, I am a senior citizen and would like to have a rejuvinating vaccation for a week. Suggest and give a good discounted package so we may consider. 
8912,ReferredSomeone,This e-Mail ID jaishankar@iifcl.org shall discontinue soon. Kindly send all future communications to jaishankar@iifcl.inJaishankar
4626,Deactivated,Kindly note that we do not wish to renew our account.   
3354,SupportAutoResponse,Im sorry to have to inform you that your message could notbe delivered to one or more recipients. Its attached below.For further assistance please send mail to postmaster.If you do so please include this problem report. You candelete your own text from the attached returned message. The mail systemshashank.gupta@nlbservices.com: host aspmx.l.google.com172.253.115.26 said: 550-5.2.1 The email account that you tried to reach is disabled. Learn more at 550 5.2.1
551,BrochureSent,Pls send the proposal for recruitment . we may require two people for sales support job as per below details.
7348,OutOfOffice, Am not in office today. For anything please reach out to Sumeet Gujral/Arti K. For anything urgent you may reach out to me on my cell.  Govind Mohan
10220,ReferredSomeone,You can please speak to the following persons:Mr. Raju Siromani GM Mehcanical - raju. siromani@clpindia.inMr. R M Aananth GM Chemistry- Aananth. r. m@clpindia.inWith 
3315,OutOfOffice,I will be out of the office with no access to email until Wednesday September 23rd. Please contact paymentinquiries@djj.com or call 877-848-5276. 
4542,SeekingMoreInfo,Thank you for your email. The role you have advertised seems interesting and something I would relish.However I am afraid 110000 is below what I earn by some tens of thousands GBP
212,OutOfOffice,Thank you for your email.I am on annual leave until Tuesday 28th June. I will respond to all emails on my return.Many
3556,Deactivated,This is the Email Security Gateway at host mx.valuelabs.com.Im sorry to inform you that the message below could not be delivered.When delivery was attempted the following error was returned.lalitha.priyanka@valuelabs.com: host mx02.valuelabs.com10.10.90.24 said: 554 5.4.6 mail loop detected in reply to end of DATA command
8325,OutOfOffice, and thanks for the email.I will be out of the office from Thursday 25th November through toFriday 2nd December and will not be checking emails.For any support issues please log a ticket at support.ocrlabs.com.For any invoicing or payment queries please contact accounts@ocrlabs.comI look forward to speaking upon my return 
3072,ReferredSomeone,Please connect with Susmita
1439,Unsubscribed,Please remove from mailing list  Darren no longer works for SuncorpThank you
4861,ConnectLater,Thanks for reaching outI might have missed your emailUnfortunately the role looks pretty junior comp is not attractive Looking forward to staying in touch for other roles
697,SupportAutoResponse,Thank you for contacting us This is an automated message to let you know that we have received your request. During Business Hours our Support Agents will reply within a couple of hours. Outside of our business hours it may take us a little longer. Our goal is to provide you with a resolution as soon as possible. Feel free to reply to this email if you have any questions or are able to provide additional information on this request. In the meantime if you have not already please take a look at our comprehensive Help Site. Your ticket number is: 12-119051 Ticket topic is: About: Dan 5034890085856 Thank you MindTickle Support Team SLA 
6916,ReferredSomeone,The recipient address huay.lee@lgt.com is not valid. Please contact info@lgt.com.
6909,SeekingMoreInfo,We had our meeting few months back. You said you need a tool more for candidate nurturing and not that much forclient. We have a few customers who used our tool themselves for candidates andhave been getting good feedback. Let me know if you want to explore that
1315,AgreedToMeet,I have booked the slot of 5th May at 4:30 PM from your from the referenceyou gave us.Thank you 
2956,Deactivated,. This is the qmail-send program at rediffmail.com.Im afraid I wasnt able to deliver your message to the following addresses.This is a permanent error Ive given up. Sorry it didnt work out.rajpara@rediffmail.com:You have been blocked by the recipient--- Enclosed is a copy of the message.
9925,AgreedToMeet,Rohan Thanks for the confirmation. Sure lets connect at 6 PM today. Please find the meeting link below: Velocity Buyblynk Wednesday July 27 xc2xb7 6:00 6:30pm Google Meet joining info
13,Deactivated,Thanks not interested. I am ok with my present employer not to mention the salary is far better than the one you stated in the email.
5045,OutOfOffice,I am currently on Annual leave. I will be returning to work Tuesday 5 Jan 2021. 
6876,SeekingMoreInfo,Thank you for your e-mails. I wonder however whether you have seen my profile and my current roles as the one you propose below is considerably below them in terms of seniority. Im surprised I got contacted for this.Many
1347,OutOfOffice,I will be out of office with limited connectivity till Thursday 02.06.22.In case of urgency please contact -for finance mattersdusica.kilibarda@ametek.comsladjana.milankovic@ametek.comfor purchasing mattersmiroslava.mandic@ametek.com
8924,OutOfOffice,I will be out on vacation this week.
454,SeekingMoreInfo,Thanks for the email I have only responded now as I have just returned from holiday.My focus is in the AD biogas design and PM of the whole project lifecycle.Would be interested to lean moreSimon
8329,OutOfOffice,"I am out of the office until Wednesday 9/16/20. Please contact Amanda Wood for assistance with transportation at amanda. wood@valmont.com
Send delivery sheets to mccookdeliveryinstrshts@valmont.com
The information contained in this E-mail message and the documents accompanying this message are privileged and confidential and may be protected from disclosure. Please be aware that any use printing copying disclosure or dissemination of this communication may be subject to legal restriction or sanction. If you think that you have received this E-mail message in error please reply to the sender. "
9176,AgreedToMeet, Can we schedule a call today @4pm.
9561,OutOfOffice,I am out the office returning on Monday 1st August 2022.For any Recruitment queries please contract richard.twumasi@steel-eye.comFor all other queries please email recruitment@steel-eye.comThanksAliciaAlicia AriffinGlobal Head of People and Culture020 3821 56115th Floor 55 Strand London WC2N 5LR United Kingdom
9002,ConnectLater,We do not have any such plan if there would be anything definitely wewould connect with you. Thanks
6927,MovedOut,Justin Ahrenkiel is no longer employed at Life Flight Network.  Please direct all future communications to the current IT Director Gary Trobaugh.Gary Trobaugh  Director of ITOffice 503.678.4364 x 4191   Fax 503.678.4369  www.LifeFlight.org
38,Unsubscribed,Can you please remove me from your list We have our own inhouse staffingrecruitment team. 
8154,ConnectLater, thanks for reaching out. I have been following Green Recruitment Solutionsin LinkedIn already and I am glad for your consideration. I am interestedto know more about your clients company the position and other positionsthat are coming in the future that match my profile and in which I can addvalue.As requested please find attached my resume.Kind
8989,OutOfOffice,Thank you for your email. I am on leave today  will have limited access to emails  Please expect delay in response. 
941,BrochureSent,Can you send me the quotation and details for the below mentioned products
4141,AgreedToMeet, I am sorry I cannot make today. Probably best at 3pm tomorrow if that is ok
2454,Deactivated,.Sorry but I would not be available. I have just taken another role of luck
10310,ConnectLater,Pooja in this weeks Friday Review... Indias inflation is set to be 6.7 in FY23 so we share tips and guides for dealing with this challenge. The Friday Review
539,AgreedToMeet,Pls call me on 971507356137 tomorrow at 130pm IST. Thanks
7349,ConnectLater,Do you know what is the current status of your assets What do I own Where is it What condition it is What is its remaining economic valueWhat is its remaining useful life My.Asset Software helps you with this task by maintaining a record of all assets you want to monitor.Benefits of My.Asset Application
6594,Unsubscribed,Remove me from your contact list.
1401,ConnectLater,Thank you for your persistence. I am not actively looking however would appreciate further detail about this company and the role if you dont mind spending the time.My CV hasnt been updated in a while. I can refresh it over the weekend and provide to you to check if my profile still is of interest.Many thanksLyudmila
9021,ConnectLater,Apologies admittedly I dont know if these emails are inidualized ormass-sent. I appreciate the reach out. I am tentatively interested inhearing more.My expertise is in public health and gender and have been the BD actingdirector up until recently for a NGO with around 5-10m in revenue. I speakFrench and have lived internationally in Uganda and Somalia.I am on paternity leave this summer so wouldnt be available to start andonly remotely in September. Totally understand if that precludes furtherconversation.BestChris
5928,SeekingMoreInfo,My No is mentioned in the SIgnature
8935,Deactivated,Im so sorry. I dont know who would handle this at Corporate
5922,SeekingMoreInfo,Emailed you some samples. 
4562,ConnectLater, Thanks for your email as of now we are not looking for any RecruitmentServices. 
8804,SeekingMoreInfo, of the day and namaste to you and your team at Atmatan wellnessCentre know that both my husband and I are looking into coming to Mumbaion the 12th November we would surely like to experience our detox plan with you please send me more information on this weight loss is ourmain concern. 
7251,OutOfOffice, senderThank you for your message.Im out of office and will be back on June 24th 2022.I will only check my mailbox infrequently during that time.Kind
4314,Deactivated,This is the PPE Hosted Dispatch mail system.PPE Hosted tried to deliver your email messagebut was unable to do so for reasons outside our control.We recommend contacting the person or service responsible forlooking after the recipient domains email server directly.The last error message we have available from the recipientsserver is included right below along with an extract of youremail:kyle@camelotmetals.com: delivery temporarily suspended: connect to a1.camelotmetals.com.localhost69.130.223.180:25: Connection timed out
3956,OutOfOffice,Thank you for your email. The UAE offices will be closed from Monday 2nd May to Wednesday 4th May 2022 on the occassion of Eid Al Fitr. I will then be on annual leave till 7th May.In my absence please reach out to:mridhula.sadanandan@abbott.commailto:mridhula.sadanandan@abbott.commerna.saad@abbott.commailto:merna.saad@abbott.comFor any urgency you may contact me on my mobile 971 565155418
3106,Deactivated,Thank you for reaching outIll pass on this one
7112,OutOfOffice,Thank you for your email.Please be advised that I will be on annual leave on Tuesday 21st June where I will return to the office on Monday 27th JuneIf your query is urgent then please contact Antony Stokes on antony.stokes@interquestgroup.comKind
6868,Deactivated,This is the Email Security Gateway at host mx.valuelabs.com.Im sorry to inform you that the message below could not be delivered.When delivery was attempted the following error was returned.gundalagoud@valuelabs.com: host mx02.valuelabs.com10.10.90.24 said: 554 5.4.6 mail loop detected in reply to end of DATA command
6681,Unsubscribed,Please take me off of your list.  We dont use SalesForce
9683,OutOfOffice,I am currently out of the office and will be returning on 4 July 2022.If the matter is urgent please contact the Airport Duty Manager on adm@bne.com.aumailto:adm@bne.com.au or 07 3406 3717 0412 052 977.Otherwise contact Amy Rawlings on 07 3406 3279 for any assistance.
8030,SeekingMoreInfo,Please find the attached contract for Recruitment services and reply with a digitally signed copy as an acceptance. 
1740,BrochureSent,kindly send the proposal for recruitment.
4439,Deactivated,Sorry for my late reply I live with my family in London so move to other city is not possible for us.
4908,SeekingMoreInfo,Food grade 98 purity 200 mesh quantity per order is 18 ton 5 orders per year.
3579,OutOfOffice,I am out of the office on PTO until Monday October 4. I will have limited access to email so if you need immediate attention please contact my assistant Michelle Rudolph. 
8142,AgreedToMeet,Looks like you are busy. Please WhatsApp at 97524 60060 to decide anew time. Or share your WhatsApp number
6002,MovedOut,Cheryl Astley is no longer with the business and this mailbox is not monitored. Please forward any email to Chris Barrett - chris. barrett@jensten. co. uk
6387,ConnectLater,Announcing our next SKILup Festival on September 13 2022. Grab your seat at Early Bird price.Londons CallingUntitled design-1
8031,OutOfOffice,I will be out of the office for an extended period of time begining April 7th 2022.Please contact Heaven Landsdell at heaven.landsdell@cbcsteelbuildings.com or 714-401-2567 for assistance.Thank youMelanie MayseyDistrict ManagerCBC Steel Buildings360-631-3993 mobilemelanie.maysey@cbcsteelbuildings.com
1564,SeekingMoreInfo,KellyCalls going sidewaysKeep hearing xe2x80x98clickStruggling to get your buyers interestIt used to be me tooUntil I got my hands on 3 money-making sales scripts
9429,Deactivated,Thank you for the contact but as Im currently working freelance outside of IR35 this isnt the type of role Im looking for. Kind
10005,OutOfOffice,Thank you for your email.I am in a workshop across 10th - 12th May 2022 hence there will be delays in repsonses.CheersVistasp MalegamwallaIf you are not the addressee please inform us immediately that you have received this e-mail by mistake and delete it. We thank you for your support.
6872,MovedOut,Matt is no longer working for us. For assistance please forward your email to info@cascadegerman.com
4157,Deactivated,Not interested
2575,ConnectLater,Thank you.Please expect a delay in response.Happy Independence Day
8963,ReferredSomeone,Note: My old email id is not being monitored and shifted to new email id below:ykuvalekar@nebulaaitsolutions.comKindly update contact details for me. 
9229,SeekingMoreInfo,ArthyMy name is Andrew Lingad and I am a local territory manager with Comcast Business. I am reaching out to introduce myself as a local contact if you or your clients have questions regarding our services.As a local representative I can assist with: New Service Internet Phone TV and Mobile Multi-site Support Service Upgrades Service MoveTransfers Advance Phone Solutions VoIP Construction to new sites Enrolment into our customer referral programSincerelyAndrew LingadSr. Business Account Executive - SF Peninsula1485 Bayshore Blvd San Francisco CA 94124P: 650-619-0052E: AndrewLingad@comcast.commailto:AndrewLingad@comcast.comcid:image002.jpg@01D88173.EFB75020Ask me how you can earn a bill creditRefer other businesses and well show our appreciation with a bill credit based on their monthly bill if they sign up.Comcast Business SmartOffice Licenses: AL: 001785 001789 AR: 2536 AZ: ROC 307346 BTR 18286-0 CA: CSLB 1028256 ACO 7677 CT: ELC 0189754-C5 ELC 0202487-C5 DE: SSPS 13-225 FL: EF0000279 GA: LVU406354 IL: PACA 127-001555 LA: F2257 MA: 7067C SS-002525 MD: 107-1937 ME: LM50017039 MI: 3601206519 MN: TS674413 MS: 15030170 NC: 1937-CSA NJ: Burglar Alarm Business Lic. 34BF00052000 NM: 379095 NY: licensed by the N.Y.S. Department of State 12000317423 OR: CCB 199939 SC: BAC-13662 TN: ACL 2006 ACL 2002 TX: B18966 UT: 8788186-6501 VA: 2705151177 DCJS 11-15181 VT: ES-02366 WA: COMCABS846NU WASHINGTON DC: ECS 904217 BBL 602517000001 WV: WV051524. Valid 101122. See www.business.comcast.comsmartoffice
9564,OutOfOffice,I am out of office today with limited connectivity. I will respond assoon as possible.Please contact prashob.p@waybeo.com - 7034792792 for any supportrelated requests.Thank you-- Abhilash KrishnanVice President - SalesWaybeo Technology Solutions Pvt Ltd. ---------------------------------------Email: abhilash@waybeo.comxe2x80x8bNumber India: 91 85898-66698
8766,AgreedToMeet,We can have a call on next month - the 1st week of July. Let me know whattime works for you
7031,SeekingMoreInfo,I am fine to hear more. John
8247,Deactivated,Sorry for not replying sooner and the opportunity is a good fit for my skill set and experience.I would like to be part of Energy change but I would not benefit from a staff position. If you could consider a contract approach that would be interesting
3626,ConnectLater,many thanks for getting in touch. Its a very attractive opportunitybut at the moment I am happy where I am with quite a considerableportfolio of work in the nuclear sector.If I consider moving in the future I will be in touch
5684,ConnectLater, I have made note of your below email. I will write to you and reach you once I am bit through from my current project assignment. We are in business of Industrial Project Design  Engineering Consultancy since 1991 and parallelly in last 10 years added started working around with Technology Player and offering specialized package solution and many a times out of box solution. I understand every sentence and word covered in below email and have gone through 3 major ups and down in last 3 decades. It will be interesting to work around with your team. 
8952,OutOfOffice,Thank you for your email. I am now on annual leave with no access to emails until Monday 8th August.If you need an urgent reply please try Rose on rose.brandbury@wasteaid.org or Ceris on ceris.turner-bailes@wasteaid.org otherwise I will get back to you ASAP on my return.Many thanksJessicaJessica Stickland Head of Development WasteAid.
5215,SeekingMoreInfo,I am much interested to take this opportunity in Vijayawada AndhraPradesh locationBut 3 lakhs is investment is very gh for meKindly do needful.
9504,AgreedToMeet,Thank you for your response.   60 min demo will be great next week.  Are you located in India or UK  Just trying to figure out the time difference. 
834,OutOfOffice,Im on annual leave returning 0207Also unfortunately I dont have specific sector expertise in power waste to energy.Kind
6954,SeekingMoreInfo,Which Active Pharmaceutical Ingredients you needKindly confirm
8252,MovedOut,Justcommodity now is part of AllegroDevelopment. The email address you have provided is no longer valid.You can reach Christian Sutjiady at following email address a hrefmailto:c.sutjiady@allegrodevelopment.com targetblankc.sutjiady@allegrodevelopment.coma-- pbspan stylefont-size:10.5ptfont-family:39Century Gothic39sans-serifChristianSutjiadyspanbbspan stylefont-size:10ptfont-family:39Century Gothic39sans-serifbrspanbspan stylefont-size:10.0ptfont-family:quotCentury Gothicquotquotsans-serifquotcolor:1f140VP Technologyspanspan stylefont-size:10ptfont-family:39Century Gothic39sans-serifbrspanpfont color1f140 faceCentury Gothic sans-serifJust Commodity Software Solutions Pte Ltdfontp stylemargin-bottom:0.0001ptspan stylefont-size:10.0ptfont-family:quotCentury Gothicquotquotsans-serifquotcolor:1f140Menara Thamrin 20th Floor Suite 08spanpp stylemargin-bottom:0.0001ptspan stylefont-size:10.0ptfont-family:quotCentury Gothicquotquotsans-serifquotcolor:1f140Jl. MH. Thamrin Kav. 3 Kebon SirihMentengspanpp stylemargin-bottom:0.0001ptspan stylefont-size:10.0ptfont-family:quotCentury Gothicquotquotsans-serifquotcolor:1f140Jakarta Pusat 10340spanpspan stylefont-size:10.0ptline-height:115font-family:quotCentury Gothicquotquotsans-serifquotcolor:1d1b11M 62spanspan langEN-US stylefont-size:10.0ptline-height:115font-family:quotCentury Gothicquotquotsans-serifquotcolor:1d1b11818 0892 4877spanspan stylefont-size:10.0ptline-height:115font-family:quotCentury Gothicquotquotsans-serifquotcolor:1d1b11brspanspan stylefont-size:8.0ptline-height:115font-family:quotCentury Gothicquotquotsans-serifquotcolor:1d1b11Espanspan stylefont-size:10.0ptline-height:115font-family:quotCentury Gothicquotquotsans-serifquotcolor:1d1b11ua hrefmailto:christian.sutjiady@justcommodity.com targetblankspan stylecolor:bluechristian.sutjiady@justcommodity.comspanaxc2xadubrspanspan stylefont-size:8.0ptline-height:115font-family:quotCentury Gothicquotquotsans-serifquotcolor:1d1b11Wspanspan stylefont-size:10.0ptline-height:115font-family:quotCentury Gothicquotquotsans-serifquotcolor:1d1b11spanspan langEN-US stylefont-size:10.0ptline-height:115font-family:quotCentury Gothicquotquotsans-serifquotcolor:1f497da href
8135,ConnectLater,.This sounds like the Voltaria role I spoke with Jann about in June.JohnSent from Mail
